Message,Liwc,OpLexicon,SentiLex
"A @Curitiba_PMC podia substituir essa orquestra no Centro Cívico, por uma roçada no parque, por exemplo",0,1,1
"@paulocolnaghi @Curitiba_PMC Em 2014 era o mesmo, e já temos 2 anos... se terminar antes de 2018 poderemos mandar um postal pros russos. :)",0,1,0
@paulocolnaghi @Curitiba_PMC Está atrasada. Trocamos a turma anterior p/não acontecer isso. O Ducci esburacou a cidade toda. Tem que fechar.,0,-1,-1
@Curitiba_PMC CHOVE MUITO AQUI NO CENTRO DA CAPITAL https://t.co/XrYT1qWFvD,1,-1,0
"@Curitiba_PMC  só avisando  alagando o Centro em 3, 2, 1",-1,-1,0
Vândalos destroem postes de iluminação do Parque Vista Alegre - Prefeitura de Curitiba https://t.co/xkLUjXkdGJ,0,1,1
@blogdojota @oicuritiba @Curitiba_PMC @CamaraCuritiba @clovisvc posto saúde jd aliança 3 anos abandonado Fruet https://t.co/jUPgvLkTtO,1,-1,-1
Prefeitura de Curitiba imitando Beto Richa. https://t.co/XANOsNMOrL,0,0,-1
@prefeiturabelem O PS do Guamá é uma vergonha para o Pará. Fui lá graças a Deus como estudante. É lastimável a situação dos pacientes.,1,0,-1
@Curitiba_PMC Tb precisamos c/ URGÊNCIA! Nossas ruas estão cada x + cheias d animais abandonados a própria sorte!!! https://t.co/YJb93hddgr,1,0,-1
to indo pra ufpa e não sei se vou sobreviver a aula de hoje,0,0,0
"Que ótimo né. Quando você retorna ao 156 da @Curitiba_PMC que o problema não foi resolvido, eles colocam que a solicitação está concluída.",-1,0,-1
prefeitura de curitiba: graças a deus morreu o hype,1,0,0
Alô @Curitiba_PMC! Tá na hora de fiscalizar a manutenção dos elevadores dos ônibus! É uma vergonha ter ônibus rodando com elevador quebrado!,1,-1,-1
#VEROPESO | Cheio de atropelos. É assim que a @prefeiturabelem quer aprovar o projeto de #reforma. #Belém #outros400 https://t.co/HHHyXYKix2,1,1,0
um voo que demorava apenas 50 minutos pra @Curitiba_PMC  agora irá dmeorar 3 horas =~~,0,0,0
#IPMC Prefeitura de Curitiba não faz repasses do IPMC desde agosto de 2015 Déficit pelo não repasse dos valores... https://t.co/MLfQDnA5NS,-1,0,0
ALÔ@prefeiturabelem ! Moradores do Bengui denunciam que a coleta do lixo não está sendo feita com frequência na área e pedem providências.,0,-1,-1
"Alô @prefeiturabelem! Olha a situação da Pass.Santa Maria, no Barreiro! população reclama tb da falta de iluminação. https://t.co/57HQX5dnRC",0,0,0
"@Curitiba_PMC A boa, que não precisava de nada mas tá ganhando asfalto novo, é a João Tschannerl. A péssima é a Antônio Costa.",0,0,-1
Wi-Fi da UFPA tá pior que internet discada hoje,-1,1,-1
"3 assaltos no bom retiro na rua Albino Silva, isso só nesta ultima hora @Curitiba_PMC @governodoparana  Bem bacana esta cidade :*",1,0,1
Pra vocês verem como  @Curitiba_PMC é organizada até nisso ¯\_(?)_/¯ https://t.co/iDhb8g8qJ4,0,1,1
"@_thaismi às vezes eu fico durante 1h30 em pé na fila do RU da ufpa e minhas costas doem, acho que preciso ir me tratar disso :(",0,1,0
@Araucaria2013 Lideranças da CIC criticam abandono e falta de investimento da prefeitura de Curitiba,-1,-1,-1
@eikebatista Lideranças da CIC criticam abandono e falta de investimento da prefeitura de Curitiba,-1,-1,-1
MT feliz chegar cedo na ufpa e o professor avisar que não terá aula,1,0,0
"@Curitiba_PMC manda bom dia pra recife, af",1,1,1
É um absurdo a faculdade de Engenharia Elétrica da UFPA está fechada numa quinta-feira às 16h da tarde.,-1,0,-1
"@UFPA_Oficial  me passa nem que seja na décima repescagem, eu não aguento mais cursinho, obg",0,-1,-1
@CentralRafinha Lideranças da CIC criticam abandono e falta de investimento da prefeitura de Curitiba,-1,-1,-1
E em Curitiba @Curitiba_PMC   de @gustavofruet está cortando árvores históricas doadas de imperador do Japão. Aff https://t.co/XJ7zVRMswk,-1,1,0
"QUE CU, NÃO TÔ CONSEGUINDO LIGAR PRA UFPA",-1,1,0
"#TODOSCONTRA @jader_barbalho UFPA 2016 Eleições para Reitor, vote contra o golpe!",-1,0,0
Próximo a este local havia um radar @TransitoSetran. Lombada eletrônica @Curitiba_PMC @gustavofruet? Há 2 escolas! https://t.co/XJvwcYD8ty,0,-1,0
"Tô indignada! A @Curitiba_PMC acabou com a integração, agora tem que pagar pra usar a rua da cidadania. #Mercenários",-1,-1,-1
Ufpa completamente alagada. Jesus amado,1,1,1
@Curitiba_PMC engraçado que já abri protocolo no 156 faz uns 15 dias e até agora ninguém apareceu para recolher sacos que tem foco! E aí?,1,1,1
@Curitiba_PMC demoraram pra começar com essa medida...,0,0,0
Hj de tarde eu tinha um teste de aptidao na ufpa p aprender a tocar piano. De manha eu consegui queimar todos os meus dedos num prato quente,1,-1,-1
@Curitiba_PMC Protocolo: 6330002 liguei e pedir urgência pelo fato é até agora nada,-1,1,0
gente que repescagem é essa que saiu da ufpa que eu não vejo,0,0,0
@leiomaurobonna e vou votar no Prof. Tourinho para Reitor! #souEmmanuelGilmar a melhor opção para a Ufpa?,1,0,0
Voto @EmmTourinho para reitor @UFPA_Oficial,0,0,0
enquanto isso... minha mãe tem medo que a filha levante bandeira vermelha na ufpa...,-1,-1,-1
"Certo, voltei pra declarar apoio à chapa de Emmanuel Tourinho e Gilmar Santos pra reitor e vice da UFPA.",1,1,1
#souEmmanuelGilmar porque quero uma UFPA para todos. https://t.co/epfrbCfmp3,1,0,0
"Galera, vamos votar no Prof. Emmanuel Tourinho e Gilmar, por uma UFPA multicampi e plural.  https://t.co/xozBysgiUO",0,-1,0
@brunadconde @UFPA_Oficial afff que custa divulgarem logi,0,0,0
"Piá, esse lazarento da @Curitiba_PMC que inventou essa ciclofaixa inútil da Sete de Setembro merecia ser empalado com um taco de bets!",0,-1,-1
@Curitiba_PMC corte de árvores no estacionamento da @SaintGermain - protocolo 6357653 https://t.co/ysDCzcqyaI,-1,0,0
"Dor de cabeça me amando hoje (@ Prefeitura de Belém - @pmb_oficial in Belém, PA) https://t.co/dINxpWhVJh",0,0,0
eu todos os dias pensando na repescagem da @UFPA_Oficial https://t.co/MUshg6r1ap,0,0,0
"@leiomaurobonna Mauro, meu voto foi para o Prof. Emmanuel Tourinho, a melhor opção para a UFPA.",1,1,0
@Curitiba_PMC Que legal. Estou na espera do conserto dos postes. Dois não estão funcionando (acredito que um foi 'vítima' de vandalismo).,1,0,-1
@inst_lula Lula como ministro consegue ser pior que @gustavofruet na @Curitiba_PMC e @BetoRicha no governo do estado.,0,1,-1
"@belemblitz @Alemourao1974 @ingridsouzafoto @prefeiturabelem Esse é o jeito certo de governar, Zenaldo?",0,1,1
#DENÚNCIA 400 robos teriam participado da enquete para Reitor da UFPa do perfil @leiomaurobonna p/ votar no candidato do @jader_barbalho,0,-1,0
"nao ta fácil... (@ Universidade Federal do Pará (UFPA) - @ufpa_oficial in Belém, PA) https://t.co/zT971wE04S",-1,0,0
"@Curitiba_PMC nossa, essa versão Dollynho from hell é simplesmente assustadora O.O",-1,-1,-1
"@ica_ufpa fiz sim, mas eles não informaram nada. entrei em contato com os outros calouros, mas eles também não sabem",1,0,0
@Curitiba_PMC peguei dois ônibus estralando... Espero que eles tenham chegado no destino,0,1,0
@Curitiba_PMC A fiação da cidade inteira está uma verdadeira bagunça. Caindo no meio da rua e das calçadas. A Prefeitura olha isso?,0,0,0
"é golpe na DILMA, é golpe na UFPa, mas tem gente que está ora de um lado, ora de outro, desçam do muro fariseus!",-1,-1,-1
"@Curitiba_PMC a moça me enviou por email, infelizmente to no ponto de ônibus sem acesso",-1,0,0
"@Curitiba_PMC todo dia é o mesmo drama, se eu fizer reclamação, é todo dia um novo protocolo",-1,1,0
"@amsjunior @Curitiba_PMC nem ai tá bonito.O de Joinville &gt;&gt;&gt;&gt; esse ai, ja nessa tela kkk https://t.co/RQ4mHYxir4",-1,1,1
Por @rogeriocorrea13 Feirantes denunciam aumento abusivo por parte da prefeitura de Belém:   O... https://t.co/YzxFqMEpYf Siga @bordalopt,1,-1,-1
só de pensar nos pontos que eu tenho que tirar pra passar em PSICOLOGIA na UFPA já quero chora,-1,0,-1
entrei 2 min no twitter da prefeitura de curitiba aqui e já tive 7 derrames,0,0,0
"@emratzke @Curitiba_PMC local próprio para criação #ZikaVirus #dengue  #chikungunya, estacionamento irregular, dinheiro para cofres públicos",0,1,-1
"@UFPR @Curitiba_PMC e o prédio do Correios ali do lado recém reformado, naquela época ainda em construção.",0,0,0
@Curitiba_PMC canetada nos motoristas da Visconde já! A qualquer momento vão matar gente sem critério aqui! #buzinaço,0,-1,-1
"@Curitiba_PMC buzinaço sem escrúpulos, pode causar brigas e acidentes! Estão provocando as pessoas a pé!",1,0,1
depois que a ufpa aderiu só ao enem que o brasil começou a desandar,-1,-1,0
"@bpetini @pparadoxo @Curitiba_PMC Jorge a capivara  que deve organizar,  típico dele , lá na rural tem tbm esse tipo de orgia",0,1,0
Pelo visto não dá pra formar sem passar por um apagão na UFPa,-1,1,0
"Isso é um #absurdo Prefeitura de Curitiba, os nossos governantes nos acham com cara de palhaços!!! Inaceitável! https://t.co/IZWDqIrdgY",1,-1,-1
Nestas eleições para Reitor da UFPa tem candidato que é a favor do Golpe  na Instituição e fica calado diante do golpe na DILMA. Desconfie.,-1,1,0
"Fazendo UFPA, vou ter duas semanas de recesso, nem férias tenho, e os semestres são um em cima do outro...",0,1,1
"@Curitiba_PMC Temos sol, nuvens, ate chuva, so falta um prefeito agora, ah desculpe ele ta com a Dilma.",1,-1,-1
Tem nada na da N A D A sobre história travesti na UFPA e a professora jura que elas não merecem ser estudadas como personagens da história,0,-1,0
vim da UFPA pra almoçar em casa chego em casa não tem nada pra comer que maravilhoso,0,1,1
O UBER chegou hoje à República de Curitiba... seria uma pena se a @Curitiba_PMC quisesse proibir e continuar vivendo nos tempos da carroça,1,1,0
A @Curitiba_PMC nem sempre tem uma atitude moderna.  https://t.co/TUhrvRKVDc,0,1,1
"se essa chuva n passar, so lamento, n vou p ufpa nem",-1,0,-1
@Curitiba_PMC ninguém mandou querer fazer a namorada passar vergonha,1,1,-1
todos os prof somando falta e eu tendo que vir pra ufpa todo dia certamente sao tempos difíceis,-1,-1,-1
